,cid,text,time,author,channel,votes,photo,heart,reply,time_parsed
62,UgzhdMh6N6ky7WE2aMN4AaABAg.9xWMGOFUyKF9xWMldGjgOy,danieljackson87 my portfolio gutter entire year I start research new way profit market everything I try seem miss mark please let we know name financial advisor,1 month ago,@mikeharry96,UClgVv4R98jYrQJ6YT7xBvPg,4,https://yt3.ggpht.com/fTSYnXvUwvzIAjqV1wRvhwrlFDUdD1mBtSHbK4iu0esRPE6Y6xbNEsteFqoVuvRWC654mvr62Eg=s176-c-k-c0x00ffffff-no-rj,False,True,1702779231.522658
63,UgzhdMh6N6ky7WE2aMN4AaABAg.9xWMGOFUyKF9xWMqY8fXoE,it run Julie Anne Hoover I learn get touch thank CNBC interview since serve point entry departure game emphasize a search internet do track necessary,1 month ago,@danieljackson87,UCOmBlkVCvzjrH--KIfylJDQ,3,https://yt3.ggpht.com/AL62tLsXMD1JLsDvRT0dgw3aS1bimzicglzOBDuCWAZZD9A10Lcssv7v008KhJOWrYiQz-NgYA=s176-c-k-c0x00ffffff-no-rj,False,True,1702779231.52358
64,UgzhdMh6N6ky7WE2aMN4AaABAg.9xWMGOFUyKF9xWPNpeO2lI,danieljackson87 I copy paste Julies whole name browser website appear right away you ve save several hour arduous research therefore I appreciate,1 month ago,@andrewlogan7737,UCYLa3m_b49PfCQ7m4eyoiUQ,3,https://yt3.ggpht.com/UYydShmBBvt4xLZO6c5z0SbtQKxrIc62JI0XTIr60HgUXIP3gIDf1qEHKTEKlMW47cUN0QMNupY=s176-c-k-c0x00ffffff-no-rj,False,True,1702779231.525603
65,UgzOeHewFW0nX2tr5ch4AaABAg.9xQVcG8NfcI9xR8L1Gijb2,where get loan product,1 month ago,@bbgen-sp6ns,UC-8DgXG4l338mKKcyl9pyBA,2,https://yt3.ggpht.com/ytc/AIf8zZRXXbrhW40HYjpVD2y0oKninyEqoFT-mcldyXNpcxN0zA=s176-c-k-c0x00ffffff-no-rj,False,True,1702779231.756639
66,UgzOeHewFW0nX2tr5ch4AaABAg.9xQVcG8NfcI9xTBIkts4cP,PPP,1 month ago,@priorityhomes2988,UCnUtUyHpYv4YNw5RKIIxy2Q,0,https://yt3.ggpht.com/WlofFRll1jmFRiCwkR9vieD6-kuTBJ8YWmRL4a86MbIxG87SHXNu3vy3pz9UV4iH2sB0B0Tg=s176-c-k-c0x00ffffff-no-rj,False,True,1702779231.758631
67,UgwBgRisn6dQ2cZ0p414AaABAg.9xQZdfvO8y69xT8-LZ-UOO,why land why rental property gain passive income meantime,1 month ago,@caitlinmclaren2695,UCFqRQgypiv6rfmlWPit3wCg,0,https://yt3.ggpht.com/ytc/AIf8zZR_3Kj-GNaNBFh9S9xBl5RRzoU8t894l4dSm6u3cw=s176-c-k-c0x00ffffff-no-rj,False,True,1702779231.978909
68,UgwlAxUN0oPDz2mNvUd4AaABAg.9xQYmy9LOLB9xQr1CX5HMy,I would also like know,1 month ago,@rhettacunningham4,UCupeggxXrIi5smfoxJ1hnkg,1,https://yt3.ggpht.com/ytc/AIf8zZTaKscZZPJ5HcBU3yVnryGy95WsROIxzo05XP6G=s176-c-k-c0x00ffffff-no-rj,False,True,1702779232.203705
69,UgwlAxUN0oPDz2mNvUd4AaABAg.9xQYmy9LOLB9xQtUCX2gzR,feel free connect I guess I can not share specific contact information thread,1 month ago,@RentToRetirement,UC_h1lnz1kM75Gj79VV8QtEg,1,https://yt3.ggpht.com/4r48relcULJPr61jgu7Vckc04c5UZ2eIMQ4737C1HVXPVWtU0zAkXluKyySCY9tZ7q_QDtZAc-M=s176-c-k-c0x00ffffff-no-rj,False,True,1702779232.204699
70,UgxLaeKlpLEjRmZjY-h4AaABAg.9xR8XbwEnbC9xT8Pnh77-G,thank can summarize 1 hour please,1 month ago,@caitlinmclaren2695,UCFqRQgypiv6rfmlWPit3wCg,0,https://yt3.ggpht.com/ytc/AIf8zZR_3Kj-GNaNBFh9S9xBl5RRzoU8t894l4dSm6u3cw=s176-c-k-c0x00ffffff-no-rj,False,True,1702779232.416963
71,UgzFy1EWjW68LAJ1sI94AaABAg.9xQn3SxZLZG9xTBgdNPmvB,that s investor live expensive market like invest SE home price fraction cost still get strong appreciation and cash flow,1 month ago,@priorityhomes2988,UCnUtUyHpYv4YNw5RKIIxy2Q,0,https://yt3.ggpht.com/WlofFRll1jmFRiCwkR9vieD6-kuTBJ8YWmRL4a86MbIxG87SHXNu3vy3pz9UV4iH2sB0B0Tg=s176-c-k-c0x00ffffff-no-rj,False,True,1702779232.620891
