ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50,Pol51,Pol52,Pol53,Pol54,Pol55,Pol56,Pol57,Pol58,Pol59,Pol60,Pol61,Pol62,Pol63,Pol64,Pol65,Pol66,Pol67,Pol68,Pol69,Pol70,Pol71,Pol72,Pol73,Pol74,Pol75,Pol76,Pol77,Pol78,Pol79,Pol80,Pol81,Pol82,Pol83,Pol84,Pol85,Pol86,Pol87,Pol88,Pol89,Pol90,Pol91,Pol92,Pol93,Pol94,Pol95,Pol96,Pol97,Pol98,Pol99,Pol100
vB_2bj3Shio,0.28,0.1,0.85,0.416666667,0.65,0.75,0,0.316666667,0.3,0.2,0.5,0.333333333,0,0.6,0.095238095,0.8,0.4,0,0.5,0,0,0.5,0,0.35,0.6,0.083333333,0,0.8,0.066666667,0.5,0.8,0,0.4875,0.7,0.5,0.8,0.8,0.091076348,0,0.375,0.1,0,0,0,0.11452381,-0.333333333,0.25,0.2,0.45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6SgzbnCmjLY,0.1,0,0.102813853,0.5,0.8,0.5,0.7,0.125,1,0.583333333,0.5875,0,0.333333333,0.329166667,0.25,0.25,0,0,0.8,0.25,0.4,0.116666667,0.225,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WjI_jZqcKeI,-0.17,0.101666667,0.75,0.8,0.425,0,0.125,0.219047619,0,-0.126666667,0.2,0.150833333,-0.092424242,0.7,-0.273809524,0.004655449,-0.166666667,0.1,0,0,-0.071428571,0.16,0.076041667,-0.266666667,0,-0.5,0.333333333,0,0.2,0.05,0.077272727,0,-0.1,0,0.2,0.05,-1,0.254166667,-0.2,0,0.373333333,0.2875,0,0,-0.166666667,0,0.7,0.416666667,-0.6,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4qxQLJZ20NA,0.03125,0,0,0,0.075,-0.054166667,0.311111111,0.135281385,0.5,-0.1,0,0,0,0.285714286,-0.026666667,0.216666667,0.584090909,-1,0,0,0.2,0.16,0.372222222,-0.05,0,0.05,0.166666667,-0.171428571,0,0,0,-0.071428571,-0.1,-0.6,-0.008333333,-0.8,0.2,0,0,0.1225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uw-9NizA1iA,0.292424242,-0.6,-0.12,0.7,0.333333333,1,0,0.8,0.6,0,-0.2,0,0.1,0.468181818,0.525,0.8,0,0.16,0,0,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KtyHJAhmfXY,0.156565657,0.2,0.041739927,-0.4,0.265833333,-0.0175,0.1875,0.508571429,0.263636364,0.387272727,0.352,0.35,0,-0.2,-0.083333333,-0.033333333,0.45,0.005555556,0,0.2,0.330357143,-0.025,0.8,0.25,-0.5,0.35,0,-0.15,0.08,0.3,0.7,0,0.7,-0.5125,1,0.083333333,0.8,0,0.8,0,0,0.13125,0.08,0.132121212,-0.016071429,0.066666667,0,-0.7,0.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zGfvH0E3NiY,0,0.333712121,0,0.468181818,0.333333333,0.91,0.3,0.1,0.4,0.4,-0.4,0.094,0.4,0.3,0.6,0.1,0.466666667,0.7,0.7,-0.1,-0.05952381,0.141666667,0.336415584,0.266666667,0.042857143,0.4,0.112396694,0.083333333,0.162974988,0.231818182,0.240178571,-0.5,0.28510101,0.122222222,0.25,0,-0.4,0.7,0,0.25,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hANfcgzV9SM,-0.025,0.05,0.044090909,0.027272727,1,0,-0.052727273,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4qchbGXg0,0.24,0.047272727,-0.168,0,-0.05,0.5,0.417142857,0.06235119,0.5,0.4,-0.1,0,0.2,0,0.15,0.2,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NitiiadRgIo,0.2,0.7,0.21875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
