ID,Pol1,Pol2,Pol3,Pol4,Pol5,Pol6,Pol7,Pol8,Pol9,Pol10,Pol11,Pol12,Pol13,Pol14,Pol15,Pol16,Pol17,Pol18,Pol19,Pol20,Pol21,Pol22,Pol23,Pol24,Pol25,Pol26,Pol27,Pol28,Pol29,Pol30,Pol31,Pol32,Pol33,Pol34,Pol35,Pol36,Pol37,Pol38,Pol39,Pol40,Pol41,Pol42,Pol43,Pol44,Pol45,Pol46,Pol47,Pol48,Pol49,Pol50,Pol51,Pol52,Pol53,Pol54,Pol55,Pol56,Pol57,Pol58,Pol59,Pol60,Pol61,Pol62,Pol63,Pol64,Pol65,Pol66,Pol67,Pol68,Pol69,Pol70,Pol71,Pol72,Pol73,Pol74,Pol75,Pol76,Pol77,Pol78,Pol79,Pol80,Pol81,Pol82,Pol83,Pol84,Pol85,Pol86,Pol87,Pol88,Pol89,Pol90,Pol91,Pol92,Pol93,Pol94,Pol95,Pol96,Pol97,Pol98,Pol99,Pol100
KtyHJAhmfXY,0.156565657,0.2,0.041739927,-0.4,0.265833333,-0.0175,0.1875,0.508571429,0.263636364,0.387272727,0.352,0.35,0,-0.2,-0.083333333,-0.033333333,0.45,0.005555556,0,0.2,0.330357143,-0.025,0.8,0.25,-0.5,0.35,0,-0.15,0.3,0.7,0.7,0.08,1,0,0.083333333,0,-0.5125,0,0.8,0,0.13125,0.8,0.08,0.132121212,-0.016071429,0.066666667,0,-0.7,0.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zGfvH0E3NiY,0,0.4,0,0.6,0.1,0.468181818,0.333712121,-0.4,0.3,0.4,0.3,0.91,0.333333333,0.1,0.4,0.7,0.466666667,0.7,0.094,-0.1,-0.05952381,0.141666667,0.336415584,0.266666667,0.042857143,0.4,0.122222222,0.25,0,0.112396694,0.083333333,0.162974988,0.231818182,0.240178571,-0.5,0.28510101,0,0.7,0.25,-0.4,0.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hANfcgzV9SM,-0.025,0.05,0.044090909,0.027272727,1,0,-0.052727273,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW4qchbGXg0,0,0,0.047272727,0.2,0.5,0.24,0.417142857,0.5,0.06235119,0.4,0,-0.05,0.2,-0.168,0,-0.1,0.15,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NitiiadRgIo,0.2,0.7,0.21875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JujnC2CCtj4,0.5,0.139880952,0.179545455,0.433333333,0.4,0.066666667,0.816666667,0.190625,0.2125,0.7,-0.23,0.3,0.16,0,0.512121212,0.3,0.5,0.6,0,0.316666667,0,0.55,0,0.118181818,-0.333333333,0.033333333,0.5,0,0.516666667,0.260833333,0,-0.2,0.333333333,0.235459184,0.409722222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UxQDD60jABU,0,0,0.3,0.33,0.3,0.35,-0.5,-0.025568182,0,0.5,-0.3,0.15,0.033333333,-0.05,0,0.35,0.35,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V1lFFZbm_XE,0,0.040178571,0,-0.071428571,0.08,0.05,0,0,0.27724359,0,-0.014705882,-0.5,0.222705628,0,0.2,-0.25,0.233333333,0.23414966,0,0.140984848,0.417261905,0.5,0.25,0.064285714,0,0,0.098787879,0,0,0.083333333,-0.4,0,0,0,0.8,0.5,0,0.242857143,0.5,0.08,0.08,0,0.15,0,0,-0.291666667,0,0.028531746,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rPzqevbZhZg,0,0.666666667,0.4,-0.048611111,-0.194444444,0.269404762,0.144444444,0,0.266666667,1,0.166666667,-0.4,0.8,0,0.211904762,0,0,0.05,0,0,0,-0.103174603,0.308333333,0.02552381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9pUb4LsBCUQ,0,0.4,0,0.533333333,0.43,-0.001666667,0.5,0.173333333,0.433333333,0.25,0.492857143,0,-0.125,0.4,0.8,0.320519481,-0.056666667,0,0,0.8,0,0.225,0.655555556,0.323333333,0.4,0.212857143,0,0,0.145833333,0,0,0.333333333,0.4,0.142857143,0.245555556,0.238888889,0.15,0.29534632,-0.025,0,0.7,-0.009285714,0,0,-0.066666667,-0.25,0.025,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qJ1LnjQiKOU,0.2,-0.0625,0.466666667,0,0,-0.0825,0,0,0.065674603,0.034090909,0.5,0.144444444,0.4,0,0.028571429,0.017222222,-0.35,0.214285714,0,0.061111111,0,-0.1,0,0.2,0,-0.325,-0.8,0,0,0,0.375,0.174116162,0,0.125,0.1,0.1,-0.25,-0.6,-0.7,-0.185,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zfVS9GgYLRM,0.081666667,0.402777778,0.225,-0.35,-0.099404762,-0.375,0.7,0.402777778,0,0.333333333,0,0.513636364,0.194320728,0.7,0.214285714,-0.3125,0.136363636,0.5,0.4,-0.4,0.408333333,0.164935065,0,0,0,0.6,0.095833333,-0.15,0,0.0625,0,0.65,0,0.033333333,0,0,-0.0125,-0.132222222,0.4,0.010833333,0,0.333333333,0.3,0.04496415,0,0,-0.216666667,0.4,-0.051041667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LD7FMYoDgx0,0,0.166666667,0,0.8,0.43,0.214285714,0.7,0.121428571,0.833333333,0.123958333,0.132142857,0,0.25,0.294444444,0.136363636,-0.4,0.2875,0,0,0.7,0.08,0.291666667,0.4,0.2,0,0,0.283333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7LrYvKDKbHI,0.3,0.5,0.292424242,0.1,0,0.16,0.65,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvu5l3zlUW8,0.35,0.65,0.6,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nwYS_IQ6w3U,0.19,0.285714286,0.166666667,0.8,0.4,0.5,0.268181818,0,0.8,0.35,0.7,0.55,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1bel7eF7EII,-0.35,0.457142857,0.197272727,0.166666667,0.140171958,0.55,0.377777778,0,0,0,0.1,0.068181818,0.484126984,0.2,0.370833333,0,0,0.35,0,0.118055556,-0.05,-0.166666667,0.270833333,0.116666667,0.177083333,-1,0.7,0,0,0.5,-0.385714286,-0.3125,-0.044666667,-0.7,-0.3125,0.073129252,0.107,-0.119791667,0.25,0.064444444,0.012407407,0.213095238,-0.079166667,0.264,0.136363636,0,-0.5,0.002222222,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gd_OxqUSBDk,0,-0.016666667,0.8,0.5,0,0,0.444444444,0.6,0.3,0,-0.8,-0.166666667,0,0.178787879,0,0,0,0,0.5,0.7,0.55,0.55,0.2,0,0,0.166666667,0,0,0,0,0,-0.071428571,0.8,0.15,0,0,0,0,0,0,0.8,-0.05,0.136363636,0.16,0,0,0,0,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BuiEbJyvBXI,0.167099567,-0.041666667,0.45,0.323232323,0.525,-0.048,0.492857143,0.183813131,0.8,0.066666667,-0.025,0.278787879,0.378787879,-0.065909091,0.101010101,-0.15,0.163333333,0.1,-0.025,0.3,1,0.151948052,-0.035584416,0.166666667,0.153257576,0.172505981,0.7,-0.05,0,-0.035714286,0.1,0.7,-0.1,0,0,0,0,0.1859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d87IErdDfM0,0.033333333,0,0.05,0.427142857,0,0.174242424,0.8,0.3,0.8,0.278571429,0.3,0.8,0.6,1,-0.1,-0.031818182,0.075,-0.5,-0.024793388,0.25,0,0.5,0.5,0,0.3,0.082142857,0.289393939,0.5,0,0.285714286,0,0,0,0,0,0,0,-0.25,0,0.014123377,0.8,-0.3125,0,0,0.026785714,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C-XN2A85Y1o,0.125,0.1,0.7,0.17,0.5,0.3,0.625,1,0.0625,-0.2,1,0.066666667,0.085416667,0,0.5,0.125,1,0.2,0.338666667,0.5,0,0,0.242857143,-0.1,0.5,0.285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1Xdqrqw9k5U,-0.25,-0.080627706,0.18,0.235123967,0.064285714,0.45,0.475,0.666666667,-0.3125,0.316923077,-0.071428571,0,0,-0.25,-0.15,0.8,-0.070075758,0.6,-0.265454545,0,0,-1,-0.342261905,0.25,0,0.285714286,-0.5,0,0.25,0,0,-0.204545455,0.136363636,0.136363636,-0.25,0.134920635,0.15,0.8,0.5,0.282794983,0.08,0.2,0.203896104,0.065238928,0.25,0.045454545,-0.3,-0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t0N1p1aD70c,0.216666667,0.35,0.65,-0.2,0.266666667,0.28,0,0.8,0.8,0.5,0,0,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VN55GfVF4dA,0.666666667,0.4,0.095238095,0.8,0.675,0.285714286,0.7,0.6,0.5625,0,0,0,0.148181818,0,0.16,0.388888889,0,0,0.16,0,0.166666667,-0.003333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oj5Y5oDhg5c,0,0.12,-0.041025641,0.6,0.018571429,0.458333333,0.15,0.5,0,-0.6,0.082,0.4,-0.017857143,0,-0.166666667,-0.033333333,0.8,0,0,0.1,0,-0.2,-0.243333333,0,0.221590909,0,0,0.303333333,0.055555556,0,0.5,0.35,0,0,0.1,0.4,-0.15625,0.7,0,0,-0.5,0,0.35,-0.2,0,0,-0.7,0.34,0.08,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6hjZJf8WWE,0.25,0.162857143,0.183813131,0.210714286,0.160416667,0.347272727,0.546666667,0.8,0.027083333,0,0.15625,-0.015151515,0.31547619,0,0.35,0.7,0.016666667,0.304545455,0,0,0.1,0.111111111,0.233333333,0,0.4,0,0.2,-0.166666667,0,0.25,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eSOflLy4n4o,0.166666667,0.166666667,0.5,0.166666667,0.333333333,0.283333333,0.359090909,0.1,-0.05,0.002462121,0.261666667,0.133333333,0.25,0.125,0.65,0,0.125,0.8,0,0.2375,0.4,0.8,-0.5,1,0,0.345238095,0,-0.145833333,0.318181818,0.6,0.296428571,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sWCwJIts7t4,0.23125,0.276893939,0.211388889,0.054583333,0.225,0.3,0.666666667,0.5,0.024617347,0.5,0.333333333,0.7,0,-0.041666667,-0.065454545,0.166666667,0,0,0.15625,-0.7,0.366666667,0.121590909,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yR3dHLBv7dM,0.65,0.148051948,0.1,0.187142857,0,0.8,0,0,0.5,0,0.4,0,-0.1,-0.1,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1q1zYFGwBc,0.8,0.154761905,0.045454545,0.5,0,0.2,0,0.5,0.5,0.1375,0.4,0,0.25,0.8,0.4,0.144444444,0.4,0,0,0,0,0.166666667,0.5,0,0.7,-0.166666667,0.016666667,0,0,0,0.166666667,-0.104166667,0,-0.3,0,0,0.116666667,0,0.4,-0.05,0,0,0,0,-0.083333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_ZXWWVroXIc,0.3,0,0,0.072222222,0.148051948,0.2,0,0.2,1,0.166666667,-0.125,-0.125,0.045153061,0,0.133333333,0.2,0.1,0.414642857,0.4,0.7,-0.173333333,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAP2apxD5oY,-0.022222222,0.166666667,0.65,0.375,0.2,0.175,0,-0.126666667,0.148051948,0.7,0,0.8,0.031688312,0.5,0.4,0.135,1,0,-0.164285714,0.033333333,0,0,0.45,0.35,0,0.16,0.068571429,-0.031333333,0.5,0.342857143,0.133333333,0.8,0.318181818,0,0.175,0.4,0.8,0,0.418181818,0.0875,0.05,0.8,-0.141156463,0,0,0.2,0.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNYnRjBSxDM,-0.257142857,0.109090909,0.65,0.15,0,0.136363636,0.8,0,0,0.46,-0.15,0.358333333,0.525,0,0.5,0.444444444,0.566666667,0.575,0.45,-0.05,0,-0.5125,0.126642857,0,0,0,0,0.65,0,0.35,0.2,0,0.285714286,0,0,0,0.6,0,0.6,0.2,-0.5,0.4,0.2015625,0.35,0.154545455,0.816666667,0.45,0.7,0.177777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wWziR81_VBw,0.35,0.066666667,0.233333333,0.6,0.633333333,0.4,0.291666667,1,0.18,0.362,0.245454545,0.9,0.733333333,0.5,0.8,0.153432282,-0.035714286,1,0.3,0,0.1,0.5,0.55,0,0.7,0.1,-0.195238095,0,0,0.6,-0.5,0,0,0,0.25,0,0,-0.272619048,0,0.174305556,0.076388889,0.125,0,0.002840909,0.7,-0.166666667,0.25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVK5vQg1UvY,0,0.40125,0.275,0.341077441,0.39,0.3,0.258333333,0.242857143,0.8,-0.077777778,0.597142857,0.8,0.227777778,0.377777778,0.18,0.433333333,-0.074074074,0.166666667,0,0.10868984,0.2,0.525,0,0.8,0.2,0.2,0.2,0.140606061,0,0,0.6,-0.05,0,0.083333333,0.6,-0.05,0.5,0,0,0,-0.0625,-0.11,0.045454545,-0.2,0.033928571,0.0125,-0.291666667,0.3375,0.1,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qBzvgn8OxpY,0,0.1,-0.15,0,0,0.136363636,0,0.08,0,0.3,0.5,-0.2,-0.125,0.074090909,0,0.4125,-0.1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FHqMswYKUpM,0.4,-0.015,0.15,-0.0875,0.25,-0.22962963,0.112396694,0.192424242,0,0.158333333,0.148051948,-0.25,0,0,-0.166666667,0.068855219,0,0.188095238,0,0.35,0.35,0.133333333,0.38,-0.0075,-0.2375,0.1,0.125162338,0.35,-0.078571429,0.1,0.8,-0.0625,0,-0.25,-0.216666667,0,0.3,0.133333333,0,0,0.306666667,0.8,0.133333333,0.358333333,-0.019387755,-0.1875,0.33,0,0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QWNPOPdSPJc,0.25,0.084090909,0.214285714,0,-0.166666667,0.5,-0.083333333,0.25,-0.119791667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n3gnr-XYBOQ,0.12,0.15,0.5,0.504761905,0.8,0.4,0.7,0.4,0.8,0.5,0.261904762,0.05,0.8,0,0,0.212121212,0,0.09375,0,0,0,0,0,0,0,0.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967GkIZJrBg,-0.137103175,0.583333333,0.212121212,0.1,0.191666667,-0.1,0.22,0.8,0.3,0.1,0.221428571,0.2,0.383333333,0,0.7,0.304761905,1,0.077380952,-0.05,0,0.7,0.5,0.8,0.666666667,0.2,0.1,0,0,0,0,0.7,0.2,-0.1,0,-0.046666667,-0.375,0,0.141493506,0.188888889,0,0,0.5,0,0.7,0.375,0.4,0,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oFkxTrYmp3Q,0.7,0.226666667,0.064285714,-0.078205128,0,-0.2,-0.616666667,-0.266666667,0.4,0.2,0.2,0.142857143,-0.3125,0.35,0,0.083333333,0,0.354166667,-0.45,0.35,-0.05,-0.008333333,0.2,0,0.371666667,-0.033673469,0.043939394,0.05,0.283333333,0,0.05,0,0.04537037,0.151388889,0.25,-0.02,0,0.133333333,0.433333333,0.15,-0.1875,0.233333333,0.166666667,0.21,0.35,0.5,-0.025,0.150018144,-0.1,-0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmqell13vz8,0,0.475,0.105357143,0.5,0.8,0.457142857,0.8,0.8,0.05,0.25,0.8,0,0,0,0.328571429,0,0,0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2GEjBMIxorU,0,-0.033333333,0,0.6,0.068181818,0,0,0,0,0.152564103,0,-0.070089286,0,0,0,-0.0125,-0.4,0,0,0,0.233333333,-0.433333333,0.285714286,0,0,0,0.7,0.205519481,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHosE_urbek,0.333333333,0.13538961,0.02,0.13,1,0.266666667,0,0.212121212,0.107142857,0.164444444,0,0.5,0,0.004166667,0.244047619,0,0.391666667,0.2,0.2,0,0,0,0,0,0.333333333,0.368181818,0.5,0.371487603,0.225,0.5,0.007142857,-0.7,0.266666667,0.8,0,0.75,0,0.416666667,0,0,0,0,0,-0.166666667,-0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1uN6feyEoH8,0,0.433333333,0.6,0.181666667,-0.11,0.36,0.2,0.0745,0.478571429,0.326785714,0.25,-0.029356061,0.333333333,0.5,0.18989899,0.05,0.7,0.4,0.566666667,0.14375,0.16,0,-0.145833333,0,0.8,0.7,0.5,-0.25,0,0,0.247916667,0.25,0.033333333,0.7,0,-0.166666667,0,0.070833333,0,-0.25,0,0.216666667,0.5,0.1,0.16,0,0.8,0,0.141666667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JvfFadd0qvU,0,0.2825,0.3,0.5,0.8,0.8,0.2,0.5,0.45,0.433333333,-0.15,0.4,0,0,0,0.199393939,-0.2,0.283333333,0.325,0,0.077777778,0,0,0.316666667,0,0,0,0,0,0,0,0,-0.15,0,-0.6,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wZ8VFXW7kZo,0.155277778,0.56,0,0.375,0.5,0.7,0.227777778,0.5,0.2,-0.093939394,0.6,0.625,0.5,0.295238095,0.063005051,0.6,0,0.433333333,0.5,0.5,0.207142857,-0.313888889,0.357142857,0,0.26984127,0.3,0.25,0.4,0,0.75,0.2,0.65,0.273015873,0.25,0.175,0.125,0,0.170833333,1,0.221284271,0.2,0.425,0.1875,0,0.31125,-0.5,0,0,0.14,0.266666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GcQQOvl2IB4,0.08,0,0.068673469,0,0.145333333,-0.279479167,1,0.214285714,0.7,0.2875,0.25,0.7,1,0.2,0.425,-0.047666667,0.238148148,0.155151515,-0.09280303,0.104116162,0.117142857,0.225,0,0,-0.046875,0.8,0,0.191298701,0,0,0.35,0.10952381,0.334090909,0,0.057179487,0,0,0.08,-0.006071429,0,0.161111111,0.023706271,0.285416667,0.115,0.1,-0.3,0.251515152,-0.25,-0.099363636,-0.050589226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E_ApGf6fSCU,0.14957672,0.002083333,0.5,-0.09047619,0,0.357142857,0.3,0.113571429,0.45,0,0.09047619,0.5,0,0.023148148,0.261111111,0.216666667,0,0.116666667,0.261538462,0,0.5375,0.196428571,0.116666667,0.086666667,0.097222222,0,0,0,0,0,0.154166667,0.2625,0.266666667,0,0,0.0675,0,0,0,0.5,0.266666667,0.199583333,0.073214286,0.083333333,-0.011772487,0.246428571,0.135714286,0.327083333,0.25,-0.033333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G5Ek7s5PyGU,0.466666667,0.366666667,0.3,0.318181818,0.25625,0.333333333,0.032467532,0.066666667,0.466666667,0.106060606,0.277272727,0.033333333,0,0.053571429,0.107142857,0,0.215777192,0.3,0.1,0,-0.002678571,0.6,0.347959184,-0.05,-0.258333333,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_-8n69FZ4Q4,0.3,0,0.2,0.153809524,0.2,0.166666667,0,0.156122449,0.077777778,0.210909091,0.3,0.3,-0.086805556,0.8,0.566666667,0.403571429,0.8,0,1,0.5,-0.02375,-0.021428571,0.2,0,0.125,0.175,-0.028409091,0,0.333333333,0.2,0.092121212,0.4,-0.033333333,0,0.25,0.055,0.069090909,0.027299784,0.733333333,0.1875,-0.4,0.275,-0.233333333,0,-0.166233766,0.25,0.1,-0.1,-0.0375,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W08vWIUDqy0,-0.166666667,0,0.357371795,0.8,0,0,0,0.525,0,0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vwZYLpQpoRM,0.4,1,0.566666667,0.236111111,0.566666667,0.4,0.55,0.8,0.4,0.75,0,0.5,0.22,0.425,-0.1,0,0.25,0.25,0.425,0.8,0.3,0,0,0.5,0.5,0,0,0.433333333,0,0,0,0.5,0.125,0.75,0.18,0.533333333,0.3,0.8,0,0.15,0,-0.6,0.6,0.2,0.266666667,0,0,-0.15,0.5,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vmPMXY_Werw,0.5,0.8,0.433333333,0,0.1,-0.0390625,0.11,0.197727273,0.2,0.1,0.1375,0,0.1,0.168253968,0.068181818,0,-0.7,0,-0.088383838,0,0,0,0,0,0.7,0,0.08,0.166666667,0.5,0.1,0,0.145,0.5,0.186666667,0.6,0,0.8,0.062236842,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I0G28BxwIv4,0.133333333,0.15,0.5,1,0.345833333,0,0.5,0.207142857,0.033333333,0.14375,0,0,0,0.7,0.004166667,0.5,-0.233333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yqDCnC4JM3I,0.166666667,0.044444444,0.175,0.197321429,0.098787879,-0.028396465,0.050459957,0.28,0.35,0.019285714,0.183333333,0.7,0.136363636,0.6,0.06,0.082142857,-0.15,-0.083333333,0.0625,0.2,-0.533333333,0,0.433333333,-0.064880952,0.8,0.5,0.35,0,0,0,0,-0.2,-0.063888889,-0.076445578,0.006666667,0.024166667,0,-0.057291667,0,-0.0625,0,0,0.8,0.35,0,0,0,0.7,0.333333333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0-iXhlpN0pg,-0.5,0,0.2,-0.35,0,0.136363636,0.019285714,0.298095238,0.1,0.22,0.053968254,0.396428571,0.333333333,-0.088888889,0.2,0.5,0.033333333,0.13040404,0.104166667,-0.026388889,-0.073690476,-0.05,0,-0.05,0.2,0.4,0.375,0,0.19375,0.8,0.1,0.25,0,-0.020833333,0,0.175,0.2625,0.366666667,-0.333333333,0,0,0.097727273,0.5,0.072619048,0,-0.0875,-0.5,0.7,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tw2HFOyli14,0.271590909,0.122767857,0.308333333,0.55,0.066666667,0.30952381,0.35,0.325324675,0.5,0.25,0.381666667,0.8,0,0.9,0.1,0.125,0.433333333,0.411111111,0,0.8,0,0.068181818,0,-0.09375,0,0.01489899,0,-0.3125,0,0.433333333,0.068181818,0,0,0,-0.2,0.25,-0.083333333,0.4875,0,0,0,0,-0.25,0,0,0,0.35,0.5,-0.015151515,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d-OG67kzYwo,0,0.258333333,0.5,-0.078518519,-0.5,0.3,0.4,0.25,0.8,0,0.65,0.8,0.15,0,0.166666667,0,0.05,0,1,0.8,0.8,0.308333333,0,0.1,0.25,0.19,0.057142857,-0.129166667,0.1,0.9,0,0,0.008730159,-0.169166667,0,0,0,0.8,0.233333333,0.06,0.8,-0.039583333,0,0.2,-0.291666667,0,0.05,0,0.3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
